course_code,prof_name,avg_grade,samples
CHE621A,Indranil Saha Dalal,7.2,2
CHE626,Vishal Agarwal,8.6,1
CHE631,Goutam Deo,8.29,1
CHE631,Vishal Agarwal,8.05,2
CHE631A,Goutam Deo,7.05,1
CHE631A,Nishith Verma,7.9,1
CHE631A,Vishal Agarwal,6.11,1
CHE632,Raghavendra Ragipani,9.0,1
CHE632A,Raghavendra Ragipani,6.2,1
CHE633,Goutam Deo,9.5,1
CHE633A,Goutam Deo,6.93,1
CHE636A,Himanshu Sharma,8.33,1
CHE641,Sanjeev Garg,6.78,1
CHE641,Viswanathan Shankar,7.63,1
CHE641A,Viswanathan Shankar,7.48,1
CHE642,Sanjeev Garg,7.25,1
CHE642A,Nishith Verma,7.493333333333333,3
CHE642A,Sanjeev Garg,7.5,1
CHE643,Indranil Saha Dalal,9.6,1
CHE652,Ishan Bajaj,7.63,1
CHE652A,Sanjeev Garg,7.5,1
CHE659,Siddhartha Panda,7.975,2
CHE659A,Siddhartha Panda,6.63,1
CHE664A,Naveen Tiwari,6.83,1
CHE665A,Vishal Agarwal,8.9,1
CHE667,Viswanathan Shankar,7.65,1
CHE667A,Viswanathan Shankar,7.79,1
CHE677A,Rahul Mangal,10.0,1
CHE678,Animangsu Ghatak,8.02,1
CHE678A,Animangsu Ghatak,8.71,1
CHE679,Indranil Saha Dalal,9.64,1
CHE679,Raghavendra Ragipani,8.78,1
CHE684,Raghvendra Singh,8.774999999999999,2
CHE684A,Raghvendra Singh,9.63,1
CHE688A,Ashutosh Sharma,7.23,1
CHE699,Naveen Tiwari,,1
CHE701A,Himanshu Sharma,,1
CHE798B,Indranil Saha Dalal,10.0,1
CHE799,Naveen Tiwari,,1
CHE801,Goutam Deo,,1
CHE801,Rahul Mangal,9.68,1
CHE801,Raju Kumar Gupta,,1
CHE801A,Nitin Kaistha,,1
CHE801A,Rahul Mangal,,1
CHE802A,Nitin Kaistha,,1
CHE888,Siddhartha Panda,,1
CHE899,Naveen Tiwari,,1
CHM101A,Apparao Draksharapu,3.38,1
CHM102A,Arnab Ghosh,5.61,1
CHM102A,Nagma Parveen,6.0,1
CHM111,Apparao Draksharapu,8.68,1
CHM112M,Arnab Ghosh,7.24,1
CHM112M,Nagma Parveen,6.62,1
CHM113M,Basker Sundararaju,4.77,1
CHM113M,Ritika Gautam,8.08,1
CHM201,Ramkrishna Sarkar,8.33,1
CHM201,Srinivas Dharavath,7.54,1
CHM201A,Srinivas Dharavath,7.3,1
CHM202,Venkata Suresh Mothika,8.51,1
CHM202A,Parthasarathi Subramanian,10.0,1
CHM202A,Ramesh Ramapanicker,4.66,1
CHM202A,Venkata Suresh Mothika,8.0,1
CHM241,Anantharaj Sengeni,7.6,1
CHM241,Raja Angamuthu,8.05,1
CHM241,Ritika Gautam,9.81,1
CHM241A,Ritika Gautam,9.62,1
CHM242,Raja Angamuthu,8.09,1
CHM242,Sabuj Kumar Kundu,6.28,1
CHM242A,Raja Angamuthu,8.37,1
CHM305,Ramesh Ramapanicker,9.64,1
CHM305A,Anand Singh,9.5,1
CHM321,Devendra Mani,7.76,1
CHM321A,Nagma Parveen,7.3,1
CHM322,Mainak Sadhukhan,8.15,1
CHM322A,Mainak Sadhukhan,6.04,1
CHM342,Sankar Prasad Rath,9.24,1
CHM342A,Sankar Prasad Rath,7.82,1
CHM344A,Basker Sundararaju,8.85,1
CHM344A,Sabuj Kumar Kundu,8.04,1
CHM421A,Nagma Parveen,7.78,1
CHM423,Manabendra Chandra,9.99,2
CHM423A,Manabendra Chandra,9.21,2
CHM423A,Pratik Sen,7.16,1
CHM443,Apparao Draksharapu,9.02,1
CHM443A,Apparao Draksharapu,8.055,2
CHM443A,Basker Sundararaju,9.57,1
CHM481A,Dharmaraja Allimuthu,7.0,2
CHM503,Anand Singh,10.0,1
CHM521,Arnab Ghosh,7.67,1
CHM600,Arnab Ghosh,6.75,1
CHM600,Devendra Mani,8.75,1
CHM600A,Devendra Mani,7.65,1
CHM602,Ramesh Ramapanicker,8.38,1
CHM602,Srinivas Dharavath,10.0,1
CHM609,Parthasarathi Subramanian,9.88,1
CHM609,Ramesh Ramapanicker,8.74,1
CHM609A,Srinivas Dharavath,9.75,2
CHM611A,Anand Singh,9.33,1
CHM612,Srinivas Dharavath,10.0,1
CHM612A,Anand Singh,8.0,1
CHM622A,Nagma Parveen,7.98,1
CHM629,Amalendu Chandra,9.39,2
CHM629A,Amalendu Chandra,9.17,1
CHM631,Dharmaraja Allimuthu,8.92,2
CHM631A,Basker Sundararaju,9.43,1
CHM631A,Dharmaraja Allimuthu,8.08,1
CHM636,Pratik Sen,8.06,1
CHM636A,Manabendra Chandra,8.92,1
CHM636A,Pratik Sen,6.33,1
CHM646,Sankar Prasad Rath,9.26,2
CHM646A,Sankar Prasad Rath,7.87,1
CHM648,Basker Sundararaju,8.29,1
CHM648,Sabuj Kumar Kundu,8.63,1
CHM648A,Basker Sundararaju,8.32,1
CHM649,Raja Angamuthu,9.35,1
CHM649,Ritika Gautam,9.93,1
CHM649A,Ritika Gautam,9.11,1
CHM650A,Amalendu Chandra,7.8,1
CHM656A,Ramkrishna Sarkar,8.79,1
CHM662,Parthasarathi Subramanian,9.55,1
CHM662A,Ramesh Ramapanicker,7.33,1
CHM663,Raja Angamuthu,8.32,1
CHM664,Devendra Mani,8.42,1
CHM666,Sandeep Verma,6.83,1
CHM667,Mainak Sadhukhan,9.6,1
CHM667A,Arnab Ghosh,6.33,1
CHM685A,Pratik Sen,8.5,1
CHM691,Sabuj Kumar Kundu,9.4,1
CHM691A,Sabuj Kumar Kundu,6.0,1
CHM692A,Nagma Parveen,8.51,1
CHM695,Amalendu Chandra,8.86,1
CHM695A,Amalendu Chandra,8.5,1
CHM698,Sandeep Verma,6.915,2
CHM698A,Sandeep Verma,9.4,2
CHM799,Pratik Sen,,1
CS201,Anil Seth,6.77,1
CS201,Manindra Agrawal,7.77,1
CS201A,Manindra Agrawal,9.66,1
CS202A,Sunil Easaw Simon,7.38,1
CS202M,Anil Seth,6.99,1
CS203B,Rajat Mittal,7.27,1
CS203M,Anil Seth,5.29,1
CS203M,Subhajit Roy,6.8,1
CS220A,Urbi Chatterjee,8.17,1
CS253,Indranil Saha,8.49,1
CS253A,Indranil Saha,9.03,1
CS300A,Preeti Malakar,,1
CS315,Purushottam Kar,8.46,1
CS315A,Arnab Bhattacharya,7.41,1
CS315A,Sumit Ganguly,7.62,1
CS330,Debadatta Mishra,7.15,1
CS330A,Debadatta Mishra,6.89,1
CS335A,Amey Karkare,6.995,2
CS335A,Swarnendu Biswas,7.05,2
CS340,Sunil Easaw Simon,6.77,1
CS340A,Manindra Agrawal,7.4,1
CS340A,Sunil Easaw Simon,6.31,1
CS345,Raghunath Tewari,6.96,1
CS345A,Anil Seth,7.17,1
CS345A,Surender Baswana,6.93,1
CS350,Satyadev Nandakumar,8.8,1
CS350A,Amey Karkare,7.08,2
CS355,Rajat Moona,7.0,1
CS360,Soumya Dutta,8.05,1
CS360A,Soumya Dutta,8.04,1
CS422,Rajat Moona,10.0,1
CS422A,Debadatta Mishra,8.0,1
CS425A,Amitangshu Pal,9.13,1
CS455,Sruti Srinivasa Ragavan,7.33,1
CS455A,Sruti Srinivasa Ragavan,6.87,1
CS499A,Subhajit Roy,10.0,1
CS601,Sanjeev Saxena,8.0,1
CS602,Sanjeev Saxena,7.9,1
CS602,Surender Baswana,7.66,1
CS602A,Sanjeev Saxena,7.5,1
CS610,Swarnendu Biswas,8.440000000000001,2
CS610A,Swarnendu Biswas,9.0,1
CS614,Debadatta Mishra,9.03,1
CS614A,Debadatta Mishra,7.72,1
CS616,Nisheeth Srivastava,8.0,1
CS616A,Nisheeth Srivastava,8.83,1
CS628,Angshuman Karmakar,9.844999999999999,2
CS628,Rajat Moona,7.5,2
CS628A,Angshuman Karmakar,10.0,1
CS633,Preeti Malakar,8.25,1
CS637,Indranil Saha,7.975,2
CS637A,Indranil Saha,7.57,1
CS639,Subhajit Roy,9.03,1
CS639A,Subhajit Roy,8.325,2
CS640A,Raghunath Tewari,8.14,1
CS641,Manindra Agrawal,7.66,1
CS641A,Manindra Agrawal,8.35,2
CS642A,Raghunath Tewari,10.0,1
CS646,Sanjeev Saxena,9.17,1
CS648,Surender Baswana,8.26,1
CS648A,Surender Baswana,7.53,1
CS653,Amey Karkare,7.6,1
CS655,Rajat Mittal,8.0,1
CS655A,Rajat Mittal,8.73,1
CS656,Sunil Easaw Simon,9.33,1
CS656A,Sunil Easaw Simon,8.7,1
CS657A,Arnab Bhattacharya,8.3,1
CS661,Soumya Dutta,8.54,1
CS661A,Soumya Dutta,8.82,1
CS662A,Anil Seth,0.0,1
CS666,Urbi Chatterjee,8.82,1
CS666A,Urbi Chatterjee,7.56,1
CS669,Urbi Chatterjee,9.0,1
CS669A,Debapriya Basu Roy,8.59,1
CS672,Rajat Mittal,8.2,1
CS674,Debapriya Basu Roy,8.835,2
CS674A,Debapriya Basu Roy,7.88,1
CS677,Soumya Dutta,9.0,1
CS677A,Preeti Malakar,8.97,1
CS682,Rajat Mittal,7.86,1
CS685,Arnab Bhattacharya,7.29,1
CS687,Satyadev Nandakumar,9.1,1
CS687A,Satyadev Nandakumar,8.74,1
CS688A,Nitin Saxena,5.6,1
CS689,Arnab Bhattacharya,8.48,1
CS689A,Arnab Bhattacharya,7.87,1
CS698C,Sumit Ganguly,8.855,2
CS698Z,Raghunath Tewari,10.0,1
CS724,Amitangshu Pal,8.85,1
CS730,Debadatta Mishra,8.0,1
CS731,Angshuman Karmakar,5.47,1
CS731A,Angshuman Karmakar,7.69,1
CS738,Amey Karkare,8.0,1
CS744,Satyadev Nandakumar,10.0,1
CS744A,Satyadev Nandakumar,9.8,1
CS747,Nitin Saxena,10.0,1
CS747A,Nitin Saxena,10.0,1
CS748,Nitin Saxena,8.25,1
CS771,Piyush Rai,8.14,1
CS771,Purushottam Kar,8.55,2
CS771A,Nisheeth Srivastava,6.51,1
CS771A,Purushottam Kar,8.26,2
CS772,Piyush Rai,8.0,1
CS772A,Piyush Rai,8.92,1
CS777,Sutanu Gayen,8.335,2
CS777A,Sutanu Gayen,9.5,2
CS779,Ashutosh Modi,9.235,2
CS779A,Ashutosh Modi,8.675,2
CS780,Ashutosh Modi,8.11,1
CS786,Nisheeth Srivastava,7.76,1
CS786A,Nisheeth Srivastava,8.405000000000001,2
CS798F,Sumit Ganguly,7.8100000000000005,2
CS798H,Sruti Srinivasa Ragavan,7.255,2
CS801,Piyush Rai,,1
CS888,Preeti Malakar,,1
DMS201,Amit Shukla,7.82,1
