A,A*,B,B+,C,C+,D,D+,E,F,S,S^,X,course_code,course_title,prof_name,semester,year,id
49,3,48,17,47,50,12,27,,,,,,CS340A,THEORY OF COMPUTATION,Manindra Agrawal,1,2022-23,833
203,12,23,,6,,,,,1,1,,,CS641A,MODERN CRYPTOLOGY,Manindra Agrawal,2,2021-22,834
180,21,17,,5,,2,,,1,,,,CS201A,MATHEMATICS FOR COMPUTER SCIENCE -I,Manindra Agrawal,1,2021-22,835
19,3,27,17,17,31,2,10,,5,,,,ME681,MATHEMATICS FOR ENGINEERS,Manjesh Kumar Singh,1,2024-25,836
4,3,2,1,,1,,,,,,,,ME653,MOLECULAR SIMULATIONS IN MECHANICAL ENGINEERING,Manjesh Kumar Singh,2,2023-24,837
8,6,42,26,19,42,3,8,,,,,,ME321A,ADVANCE MECHANICS OF SOLIDS,Manjesh Kumar Singh,1,2023-24,838
3,,3,1,,,,,,3,,,,ME698I,ATOMISTIC SIMULATIONS IN MECHANICAL ENGINEERING,Manjesh Kumar Singh,2,2022-23,839
23,5,16,24,6,35,,1,,4,,,,ME681A,MATHEMATICS FOR ENGINEERS,Manjesh Kumar Singh,1,2022-23,840
27,3,50,,48,,18,,,18,,,,ME681A,MATHEMATICS FOR ENGINEERS,Manjesh Kumar Singh,1,2021-22,841
3,,4,4,1,3,,,,,,,,CE665,ECOLOGICAL AND BIOLOGICAL PRINCIPLES AND PROCESS,Manoj Kumar Tiwari,1,2024-25,842
7,,1,2,1,1,,,,,,,,CE763,SOLID AND HAZARDOUS WASTE MANAGEMENT,Manoj Kumar Tiwari,2,2023-24,843
,,,1,1,,,2,,,,,,MTH211A,THEORY OF STATISTICS,Minerva Mukhopadhyay,2,2023-24,844
,,1,,,,,,,2,,,,MTH665A,ASYMPTOTIC STATISTICS,Minerva Mukhopadhyay,1,2023-24,845
,,,,,3,,,,,,,,MTH665,ASYMPTOTIC STATISTICS,Minerva Mukhopadhyay,1,2023-24,846
3,1,4,9,10,8,2,6,,1,,,,MTH211A,THEORY OF STATISTICS,Minerva Mukhopadhyay,2,2022-23,847
,,3,,,,,,,,,,,MTH754A,PROBABILITY THEORY,Minerva Mukhopadhyay,1,2022-23,848
2,1,19,,16,,8,,,2,,,,MTH514A,MULTIVARIATE ANALYSIS,Minerva Mukhopadhyay,2,2021-22,849
23,,11,7,3,11,5,3,,5,,,,ENG431,THE INDO-ANGLIAN NOVEL,Mini Chandran,1,2024-25,850
16,1,20,5,8,8,9,7,,5,,,,ENG437A,INDIAN LITERATURE,Mini Chandran,2,2023-24,851
8,,9,9,11,10,6,,,2,,,,ENG439A,LITERATURE AND CENSORSHIP,Mini Chandran,1,2023-24,852
,,2,,,,,,,,,,,ENG764A,INDIAN EPIC NARRATIVES,Mini Chandran,2,2022-23,853
5,2,17,6,6,4,7,2,,1,,,,ENG123A,INTRODUCTION TO LITERATURE,Mini Chandran,1,2022-23,854
5,,8,4,1,3,,5,,,,,,AE608,HEAT TRANSFER IN AEROSPACE APPLICATIONS,Mohammed Ibrahim Sugarno,2,2023-24,855
,1,6,3,3,1,2,1,,,,,,AE655A,TRANSONIC AERODYNAMICS,Mohammed Ibrahim Sugarno,2,2022-23,856
2,2,3,,,1,,,,,,,,AE720A,HYPERSONIC FLOWS,Mohammed Ibrahim Sugarno,1,2022-23,857
3,,17,11,10,13,,1,,2,,,,AE601A,INTRO TO AEROSPACE ENGG.,Mohammed Ibrahim Sugarno,1,2022-23,858
4,2,4,,8,,4,,1,2,,,,AE612A,AERODYNAMICS II,Mohammed Ibrahim Sugarno,2,2021-22,859
2,,4,,,,,,,2,,,,ME668A,MACHINING DYNAMICS,Mohit Law,1,2017-18,860
9,1,9,,,,,,,,,,,ME730A,MODAL ANALYSIS: THEORY AND PRACTICE,Mohit Law,2,2016-17,861
,,,,,,,,,,12,,,MTH888M,INTRODUCTION TO PROFESSION AND COMMUNICATIONS SKILLS (MATHEMATICS),Mohua Banerjee,1,2024-25,862
3,4,5,2,4,4,3,3,,2,,,,MTH401,THEORY OF COMPUTATION,Mohua Banerjee,2,2023-24,863
,,,,,,,,,,3,,,MTH600M,INTRODUCTION TO PROFESSION AND COMMUNICATIONS SKILLS (MATHEMATICS),Mohua Banerjee,1,2023-24,864
1,,,2,2,,,,,,,,,MTH701A,MODAL LOGIC,Mohua Banerjee,2,2022-23,865
4,2,,,,1,,,,1,,,,MTH401A,THEORY OF COMPUTATION,Mohua Banerjee,1,2022-23,866
14,5,11,20,1,5,1,,,,,,,MSE694,NANOSTRUCTURES AND NANOMATERIALS: CHARACTERIZATION AND PROPERTIES,Monica Katiyar,1,2024-25,867
10,1,7,10,,,2,,,,,,,MSE604,SCIENCE AND TECHNOLOGY OF THIN FILMS AND DEVICE FABRICATION,Monica Katiyar,2,2023-24,868
,,,,,,,,,,86,,2,MSE300A,PROFESSIONAL & TECHNICAL COMMUNICATION,Monica Katiyar,1,2023-24,869
36,11,12,29,,,,,,,,,,MSE312A,FUNCTIONAL MATERIALS LABORATORY,Monica Katiyar,2,2022-23,870
8,3,16,9,17,9,9,13,1,,,,,MSE303A,ELECTRONIC & MAGNETIC PROPERTIES OF MATERIALS,Monica Katiyar,1,2022-23,871
13,8,34,40,,9,,,,,,,,MBA725M,SUSTAINABLE DEVELOPMENT FOR BUSINESSES,Mousami Prasad,2,2023-24,872
1,,4,1,9,1,8,,7,12,,,,MTH656,SOBOLEV SPACES AND APPLICATIONS,Mrinmay Biswas,1,2024-25,873
6,1,14,15,4,20,4,,,7,,,,MTH308B,NUMERICAL ANALYSIS AND SCIENTIFIC COMPUTING-I,Mrinmay Biswas,2,2023-24,874
9,,34,11,18,25,9,,,15,,,,MTH308,PRINCIPLES OF NUMERICAL COMPUTATION,Mrinmay Biswas,2,2023-24,875
,,,3,1,,5,,,2,,,,MTH421A,ORDINARY DIFFERENTIAL EQUATIONS,Mrinmay Biswas,1,2023-24,876
3,1,19,17,9,11,3,3,,,,,,CE605,PROBABILITY AND STATISTICS FOR CIVIL ENGINEERS,Mukesh Sharma,1,2024-25,877
1,,13,9,28,17,39,32,3,6,,,,CE311A,ENVIRONMENTAL QUALITY AND POLLUTION,Mukesh Sharma,1,2023-24,878
5,2,8,4,3,9,,2,,2,,,,CE667A,PRINCIPLES OF ENVIROMENTAL MANAGEMENT,Mukesh Sharma,2,2022-23,879
2,,14,2,88,10,1,17,,2,,,,CE412A,WATER SUPPLY AND WASTEWATER DISPOSAL SYSTEMS,Mukesh Sharma,2,2022-23,880
5,,14,8,14,12,23,8,2,,,,,CE666A,AIR POLLUTION AND ITS CONTROL,Mukesh Sharma,1,2022-23,881
,,3,,,,,,,,,,,ENG705,NATION THEORY AND LITERATURE,Muthukumar M,1,2024-25,882
17,3,20,12,8,27,1,3,,,,,,ENG437,INDIAN LITERATURE,Muthukumar M,1,2024-25,883
19,2,15,36,,15,,2,,3,,,,HSS405A,LITERATURE AND PROFESSION,Muthukumar M,2,2023-24,884
1,,,,,,,,,,,,,ENG716,INDIVIDUAL PROJECTS,Muthukumar M,2,2023-24,885
22,,64,,43,,,,,,,,,ME251A,ENGINEERING DESIGN AND GRAPHICS,Nachiketa Tiwari,2,2020-21,886
14,,18,,9,,2,,,9,,,,ME623A,FINITE ELEMENT METHODS IN ENGINEERING MECHANICS,Nachiketa Tiwari,1,2019-20,887
3,,11,,,,,,,,,1,,ME778A,ENGINEERING ACOUSTICS AND ITS CONTROL,Nachiketa Tiwari,2,2019-20,888
97,8,31,,6,,,,,15,,,,ME623A,FINITE ELEMENT METHODS IN ENGINEERING MECHANICS,Nachiketa Tiwari,1,2020-21,889
5,,6,,3,,1,,,3,,,,ME778A,ENGINEERING ACOUSTICS AND ITS CONTROL,Nachiketa Tiwari,2,2018-19,890
13,,42,,21,,17,,,10,,,,ME251A,ENGINEERING DESIGN AND GRAPHICS,Nachiketa Tiwari,1,2017-18,891
2,2,3,4,,1,,,,,,,,EE645,MONOLITHIC MICROWAVE ICS,Nagaditya Poluri,1,2024-25,892
35,3,102,62,117,126,50,114,,12,,,,CHM112M,GENERAL CHEMISTRY: PHYSICAL CHEMISTRY,Nagma Parveen,1,2024-25,893
,,,,4,2,1,,,,,,,CHM102A,GENERAL CHEMISTRY,Nagma Parveen,1,2024-25,894
7,4,10,14,1,5,1,1,,,,,,CHM692A,SPECIAL TOPICS IN PHYSICAL CHEMISTRY,Nagma Parveen,2,2022-23,895
12,10,47,,13,,3,,,1,,,,CHM622A,CHEMICAL KINETICS,Nagma Parveen,2,2021-22,896
7,9,16,,9,,4,,,1,,,,CHM421A,PHYSICAL CHEMISTRY I,Nagma Parveen,1,2021-22,897
6,3,12,,10,,6,,,,,,,CHM321A,PHYSICAL CHEMISTRY I,Nagma Parveen,1,2021-22,898
,,,,,2,,,,,,,,EE634,ELECTRICAL INSULATION IN POWER APPARATUS AND SYSTEMS,Nandini Gupta,1,2024-25,899
1,,3,,,,,,,,,,,EE649A,THE FINITE ELEMENT METHOD FOR ELECTRIC AND MAGNETIC FIELDS,Nandini Gupta,2,2023-24,900
,2,1,,1,,,,,1,,,,EE649,THE FINITE ELEMENT METHOD FOR ELECTRIC AND MAGNETIC FIELDS,Nandini Gupta,2,2023-24,901
,,1,,1,,,,,,,,,EE634A,ELECTRICAL INSULATION IN POWER APPARATUS AND SYSTEMS,Nandini Gupta,1,2023-24,902
1,,1,,,,,,,,,,,EE634,ELECTRICAL INSULATION IN POWER APPARATUS AND SYSTEMS,Nandini Gupta,1,2023-24,903
26,4,58,32,56,64,8,31,,5,,,,ESO203A,INTRODUCTION TO ELECTRICAL ENGINEERING,Nandini Gupta,2,2022-23,904
134,18,104,89,142,154,261,242,,154,,,,MTH112M,APPLICATION OF SINGLE VARIABLE CALCULUS & SEVERAL VARIABLE CALCULUS,Nandini Nilakantan,1,2024-25,905
2,,,,1,2,13,3,,20,,,,MTH111M,SINGLE VARIABLE CALCULUS,Nandini Nilakantan,2,2023-24,906
59,14,114,92,157,173,339,238,,143,,,,MTH111M,SINGLE VARIABLE CALCULUS,Nandini Nilakantan,1,2023-24,907
59,14,114,92,157,173,339,238,,143,,,,MTH111M,SINGLE VARIABLE CALCULUS,Nandini Nilakantan,1,2023-24,908
3,,4,2,,1,2,,,,,,,MTH436,BASIC ALGEBRAIC GEOMETRY,Narasimha Chary Bonala,1,2024-25,909
2,1,2,4,5,8,9,8,,12,,,,MTH204B,ABSTRACT ALGEBRA,Narasimha Chary Bonala,2,2023-24,910
,,,1,,,,,,,,,,MTH651,INTRODUCTION TO TORIC VARIETIES,Narasimha Chary Bonala,1,2023-24,911
,,,1,,,1,,,,,,,EE698J,KALMAN FILTERING & APPLICATIONS,Naren Naik,1,2024-25,912
13,1,69,31,27,28,12,14,,17,,,,EE200,SIGNALS SYSTEMS AND NETWORKS,Naren Naik,1,2024-25,913
,,,1,1,1,1,3,,2,,,,EE301A,DIGITAL SIGNAL PROCESSING,Naren Naik,2,2023-24,914
,,6,2,41,21,17,36,,28,,,,EE301A,DIGITAL SIGNAL PROCESSING,Naren Naik,2,2022-23,915
2,,4,,3,,3,,,10,,,,EE301A,DIGITAL SIGNAL PROCESSING,Naren Naik,2,2021-22,916
,,1,1,1,1,3,1,,2,,,,CHE619,ADVANCED FLUID MECHANICS,Naveen Tiwari,2,2023-24,917
2,,2,4,1,,1,,,2,,,,CHE664A,ELECTROCHEMICAL ENERGY CONVERSION AND STORAGE,Naveen Tiwari,2,2022-23,918
,,,,,,,,,,,,,CHE899,MS - RESEARCH THESIS,Naveen Tiwari,1,2022-23,919
,,,,,,,,,,,,,CHE799,PHD THESIS,Naveen Tiwari,1,2022-23,920
,,,,,,,,,,,,,CHE699,M TECH THESIS,Naveen Tiwari,1,2022-23,921
1,1,2,1,,1,1,,,,,,,AE671,AEROACOUSTICS,Navrose,1,2024-25,922
3,2,11,5,2,4,,,,2,1,,,AE621,TURBULENCE,Navrose,2,2023-24,923
3,,1,1,2,2,,,,,,,,AE617A,BOUNDARY LAYER INSTABILITY AND TRANSITION,Navrose,1,2023-24,924
1,,2,2,3,4,,,,,,,,AE617,BOUNDARY LAYER INSTABILITY AND TRANSITION,Navrose,1,2023-24,925
4,1,15,7,12,13,3,3,2,1,,,,AE211A,INCOMPRESSIBLE AERODYNAMICS,Navrose,2,2022-23,926
8,3,8,13,8,10,4,5,,3,,,,MTH515,INFERENCE - II,Neeraj Misra,1,2024-25,927
6,3,9,14,8,5,10,4,,4,,,,MTH418,INFERENCE I,Neeraj Misra,2,2023-24,928
5,6,5,14,6,10,1,3,2,2,,,,MTH515A,INFERENCE - II,Neeraj Misra,1,2023-24,929
7,1,4,7,3,10,4,12,4,2,,,,MTH418A,INFERENCE -I,Neeraj Misra,2,2022-23,930
4,2,10,6,6,12,,4,1,2,,,,MTH515A,INFERENCE - II,Neeraj Misra,1,2022-23,931
7,,10,4,2,,,,,,,,,CE638,GEOTECHNICAL MEASUREMENTS AND EXPLORATION,Nihar Ranjan Patra,1,2024-25,932
,,7,3,,,,,,,,,,CE634,GROUND IMPROVEMENT TECHNIQUES,Nihar Ranjan Patra,2,2023-24,933
,,9,2,,2,,,,,,,,CE638,GEOTECHNICAL MEASUREMENTS AND EXPLORATION,Nihar Ranjan Patra,1,2023-24,934
1,,13,,,,,,,,,,,CE632A,FOUNDATION ANALYSIS AND DESIGN,Nihar Ranjan Patra,2,2021-22,935
12,1,9,,2,,1,,,1,,,,CE638P,GEOTECHNICAL MEASUREMENTS AND EXPLORATION,Nihar Ranjan Patra,1,2021-22,936
3,1,1,4,1,1,,,,,,,,BSE698X,ELECTRONICS AND SIGNAL PROCESSING FOR BIOLOGISTS,Nikunj Arunkumar Bhagat,1,2024-25,937
4,1,12,6,4,2,1,2,,,,,,MSE642,MICROSCOPY AND MICROANALYSIS OF MATERIALS,Nilesh Prakash Gurao,1,2024-25,938
2,1,5,1,13,9,1,7,,3,,,,MSE642A,MICROSCOPY AND MICROANALYSIS OF MATERIALS,Nilesh Prakash Gurao,1,2023-24,939
1,,1,,2,1,,,,,,,,MSE642,MICROSCOPY AND MICROANALYSIS OF MATERIALS,Nilesh Prakash Gurao,1,2023-24,940
2,,5,1,,,,,,,,,,MSE683A,CRYSTALLOGRAPHIC TEXTURE & MECROSTRUCTURAL ENGINEERING,Nilesh Prakash Gurao,2,2022-23,941
,,,,,,,,,,,,,MSE799,PH D THESIS,Nilesh Prakash Gurao,1,2022-23,942
8,2,26,14,19,31,8,9,,1,,,,MSE667,SELECTION AND DESIGNING WITH ENGINEERING MATERIALS,Niraj Mohan Chawake,2,2023-24,943
4,2,11,5,6,14,6,6,,,,,,MSE658A,DISLOCATIONS AND PLASTICITY,Niraj Mohan Chawake,1,2023-24,944
2,,2,2,1,2,1,,,,,,,MSE658,DISLOCATIONS AND PLASTICITY,Niraj Mohan Chawake,1,2023-24,945
15,2,36,32,,,,,,,,,,MSE311A,PHYSICAL METALLURGY LABORATORY,Niraj Mohan Chawake,1,2023-24,946
7,4,10,5,6,18,1,,,,,,,MSE627A,CREEP AND HIGH TEMPERATURE DEFORMATION OF MATERIALS,Niraj Mohan Chawake,2,2022-23,947
,,1,1,,,,,,1,,,,TA201P,MANUFACTURING PROCESSES I LAB,Niraj Mohan Chawake,1,2022-23,948
,,,,,,2,,,,,,,ME461A,MANUFACTURING SYSTEMS,Niraj Sinha,3,2023-24,949
11,,55,128,1,20,,,,6,,,,TA212,MANUFACTURING PROCESSES II,Niraj Sinha,2,2023-24,950
,,,,1,,,,,,,,,ME701A,DESIGN FOR MANUFACTURE & ASSEMBLY,Niraj Sinha,1,2023-24,951
1,,7,3,,1,,,,,,,,ME701,DESIGN FOR MANUFACTURE & ASSEMBLY,Niraj Sinha,1,2023-24,952
9,2,31,16,19,35,4,10,,5,,,,ME461A,MANUFACTURING SYSTEMS,Niraj Sinha,2,2022-23,953
11,7,17,16,5,12,1,5,1,3,,,,CS786,COMPUTATIONAL COGNITIVE SCIENCE,Nisheeth Srivastava,1,2024-25,954
9,,8,9,,3,,,,,,,,CS616A,HUMAN CENTERED COMPUTING,Nisheeth Srivastava,1,2023-24,955
,,2,1,,1,,,,,,,,CS616,HUMAN CENTERED COMPUTING,Nisheeth Srivastava,1,2023-24,956
11,5,21,,8,,3,,,,,,,CS786A,COMPUTATIONAL COGNITIVE SCIENCE,Nisheeth Srivastava,2,2021-22,957
33,1,65,,48,,37,,13,6,,,,CS771A,INTRODUCTION TO MACHINE LEARNING,Nisheeth Srivastava,1,2021-22,958
14,3,12,,3,,1,,,,,,,CS786A,COMPUTATIONAL COGNITIVE SCIENCE,Nisheeth Srivastava,2,2020-21,959
15,,41,,22,,,,,,,,,CHE492A,UNIT OPERATIONS AND PROCESS CONTROL LABORATORY,Nishith Verma,1,2019-20,960
1,,22,,22,,,,,,,,,CHE642A,NUMERICAL METHODS IN CHEMICAL ENGINEERING,Nishith Verma,2,2019-20,961
9,,27,,5,,,,,2,,,,CHE642A,NUMERICAL METHODS IN CHEMICAL ENGINEERING,Nishith Verma,2,2018-19,962
4,,11,,5,,,,,,,,,CHE631A,CHEMICAL REACTION ENGINEERING,Nishith Verma,1,2016-17,963
6,,10,,6,,3,,,1,,,,CHE492A,UNIT OPERATIONS AND PROCESS CONTROL LABORATORY,Nishith Verma,1,2016-17,964
1,,2,,2,,,,,,,,,CHE642A,NUMERICAL METHODS IN CHEMICAL ENGINEERING,Nishith Verma,2,2014-15,965
31,4,17,3,4,15,5,6,,1,,,,BSE656,NEUROBIOLOGY,Nitin Gupta,1,2024-25,966
6,1,15,6,7,7,7,6,,,,,,BSE322A,BIOINFORMATICS & COMPUTATIONAL BIOLOGY,Nitin Gupta,2,2023-24,967
5,,14,6,5,9,9,10,,,,,,BSE322,STRUCTURAL BIOLOGY & BIOINFORMATICS,Nitin Gupta,2,2023-24,968
19,4,16,4,13,12,7,6,,2,,,,BSE656A,NEUROBIOLOGY,Nitin Gupta,1,2023-24,969
1,,,,,,,,,,,,,BSE656,NEUROBIOLOGY,Nitin Gupta,1,2023-24,970
,,1,,4,2,6,5,,2,,,,CHE381A,PROCESS CONTROL,Nitin Kaistha,3,2023-24,971
5,2,10,7,14,14,12,23,6,1,,,,CHE381A,PROCESS CONTROL,Nitin Kaistha,2,2023-24,972
,,,,,,,,,,11,,,CHE802A,PHD SEMINAR,Nitin Kaistha,2,2022-23,973
7,1,12,10,18,36,12,16,9,5,,,,CHE381A,PROCESS CONTROL,Nitin Kaistha,2,2022-23,974
,,,,,,,,,,8,,,CHE801A,PHD SEMINAR,Nitin Kaistha,1,2022-23,975
3,1,4,10,6,4,,1,,,,,,BSE611,MODERN INSTRUMENTAL METHODS IN BIOLOGICAL SCIENCES,Nitin Mohan,1,2024-25,976
,,,,,,,,,,41,,2,BSE601,PROFESSIONAL COMMUNICATION,Nitin Mohan,1,2024-25,977
6,1,1,6,6,6,3,3,,1,,,,BSE644,OPTICAL MICROSCOPY & BIOIMAGING,Nitin Mohan,2,2023-24,978
2,,3,1,6,1,5,6,,2,,,,BSE611A,MODERN INSTRUMENTAL METHODS IN BIOLOGICAL SCIENCES,Nitin Mohan,1,2023-24,979
2,1,4,2,4,3,4,3,,,,,,BSE611,MODERN INSTRUMENTAL METHODS IN BIOLOGICAL SCIENCES,Nitin Mohan,1,2023-24,980
1,1,1,,,,,1,,,,,,CS748,ARITHMETIC CIRCUIT COMPLEXITY,Nitin Saxena,1,2024-25,981
17,7,22,14,29,14,19,18,5,6,,,,ESO207,DATA STRUCTURE & ALGORITHM,Nitin Saxena,2,2023-24,982
3,,,,,,,,,,,,,CS747A,RANDOMIZED METHODS IN COMPUTATIONAL COMPLEXITY,Nitin Saxena,1,2023-24,983
,1,,,,,,,,,,,,CS747,RANDOMIZED METHODS IN COMPUTATIONAL COMPLEXITY,Nitin Saxena,1,2023-24,984
,1,,1,,1,,,1,1,,,,CS688A,COMPUTATIONAL ARITHMETIC-GEOMETRY & APPLICATIONS,Nitin Saxena,2,2022-23,985
2,,4,3,2,6,,,,,,,,CE770,ADJUSTMENT COMPUTATIONS FOR GEOINFORMATICS-I,Onkar Dikshit,1,2024-25,986
6,,13,9,,2,,,,,,,,CE771,ADJUSTMENT COMPUTATIONS FOR GEOINFORMATICS-II,Onkar Dikshit,2,2023-24,987
8,,8,10,,4,,,,,,,,CE673,INSTRUMENTATION  LABORATORY AND FIELD PRACTICES IN GEOINFORMATICS,Onkar Dikshit,2,2023-24,988
,,4,,3,,,,,,,,,CE332A,UNDER GRADUATE RESEARCH -I,Onkar Dikshit,2,2023-24,989
2,1,6,,8,,4,,,,,,,PHY526A,NUCLEAR AND PARTICLE PHYSICS,Pankaj Jain,2,2021-22,990
5,,15,,22,,35,,,1,,,,PHY667A,HIGH ENERGY ASTROPHYSICS OF BINARY STAR SYSTEMS,Pankaj Jain,1,2021-22,991
1,,,,,,,,,,,,,PHY558A,BATCHLOR OF SCIENCE PROJECT -IV,Pankaj Jain,2,2020-21,992
,,1,,,,,,,,,,,PHY557A,BATCHLOR OF SCIENCE PROJECT -III,Pankaj Jain,2,2020-21,993
17,,52,,2,,,,,,,,,PHY526A,NUCLEAR AND PARTICLE PHYSICS,Pankaj Jain,2,2020-21,994
14,,23,,60,,38,,2,12,,,,PHY305A,PHYSICS OF UNIVERSE,Pankaj Jain,1,2019-20,995
1,1,1,1,,,,,,,,,,ME626,VIBRATION OF CONTINUOUS SYSTEM,Pankaj Wahi,1,2024-25,996
,,4,2,6,9,5,5,8,3,,,,ME209,DYNAMICS,Pankaj Wahi,3,2023-24,997
,,,1,3,,,,,,,,,ME627,NON-LINEAR VIBRATION,Pankaj Wahi,2,2023-24,998
9,2,6,2,4,4,1,1,,2,,,,ME623,FINITE ELEMENT METHODS IN ENGINEERING MECHANICS,Pankaj Wahi,2,2023-24,999
1,,2,1,,,,,,1,,,,ME627A,NONLINEAR VIBRATION,Pankaj Wahi,2,2022-23,1000
13,7,16,10,23,15,18,19,,6,,,,MTH403,COMPLEX ANALYSIS,Parasar Mohanty,1,2024-25,1001
,1,,,1,1,1,1,,1,,,,MTH205,INTRODUCTION TO FOURIER SERIES,Parasar Mohanty,2,2023-24,1002
2,1,,,1,2,,1,,,,,,MTH621A,FOURIER ANALYSIS,Parasar Mohanty,1,2023-24,1003
6,1,11,6,8,2,5,,,4,,,,MTH424A,PARTIAL DIFFERENTIAL EQUATIONS,Parasar Mohanty,2,2022-23,1004
,,,,,1,,,,1,,,,MTH205A,INTRODUCTION TO FOURIER SERIES,Parasar Mohanty,1,2022-23,1005
,,3,,3,4,1,,2,,,,,CE683,TRAFFIC ENGINEERING,Partha Chakroborty,1,2024-25,1006
2,,,,1,2,,,,,,,,CE685,URBAN TRANSPORTATION,Partha Chakroborty,2,2023-24,1007
1,,5,,4,1,,4,,,,,,CE683,TRAFFIC ENGINEERING,Partha Chakroborty,1,2023-24,1008
5,1,8,7,6,3,,4,,1,,,,CE683A,TRAFFIC ENGINEERING,Partha Chakroborty,1,2022-23,1009
,,6,,2,,,,,,,,,CE683A,TRAFFIC ENGINEERING,Partha Chakroborty,1,2021-22,1010
2,,,1,,,,,,,,,,CE722,GEOTECHNICS OF TAILINGS AND TAILINGS STORAGE FACILITIES,Partha Narayan Mishra,2,2023-24,1011
2,,,,,,,,,,1,,,CE732A,UNSATURATED SOIL MECHANICS,Partha Narayan Mishra,1,2023-24,1012
2,,6,6,,,,,,,,,,CE732,UNSATURATED SOIL MECHANICS,Partha Narayan Mishra,1,2023-24,1013
1,,,1,,1,,,,,1,,,CE732A,UNSATURATED SOIL MECHANICS,Partha Narayan Mishra,2,2022-23,1014
4,,3,8,5,,4,,,1,,,,EE660,BASICS OF POWER ELECTRONIC CONVERTERS,Parthasarathi Sensarma,1,2024-25,1015
21,4,27,19,18,17,11,19,,4,,,,EE360A,POWER ELECTRONICS,Parthasarathi Sensarma,2,2023-24,1016
1,,,,,,,,,,,,,EE660A,BASICS OF POWER ELECTRONIC CONVERTERS,Parthasarathi Sensarma,1,2023-24,1017
1,,2,8,3,4,2,2,,2,,,,EE660,BASICS OF POWER ELECTRONIC CONVERTERS,Parthasarathi Sensarma,1,2023-24,1018
3,,3,3,,2,,,,1,,,,EE662A,CONTROL TECHNIQUES IN POWER ELECTRONICS,Parthasarathi Sensarma,2,2022-23,1019
13,2,,2,,,,,,,,,,CHM609,PRINCIPLES OF ORGANIC CHEMISTRY,Parthasarathi Subramanian,1,2024-25,1020
1,,,,,,,,,,,,,CHM202A,BASIC ORGANIC CHEMISTRY -II,Parthasarathi Subramanian,3,2023-24,1021
10,3,2,5,,,,,,,,,,CHM662,CHEMISTRY OF NATURAL PRODUCTS,Parthasarathi Subramanian,2,2023-24,1022
1,1,6,6,3,2,,,,,,,,EE664,FUNDAMENTALS OF ELECTRIC DRIVES,Piyush Kant,1,2024-25,1023
2,,4,5,2,3,,,,,,,,EE798M,"HIGH POWER CONVERTERS: DESIGN, CONTROL AND POERATION",Piyush Kant,2,2023-24,1024
2,,5,6,2,2,,,,1,,,,EE666,SPECIAL TOPICS IN POWER ELECTRONICS,Piyush Kant,1,2023-24,1025
6,1,2,7,,1,,,,3,,,,EE798M,"HIGH POWER CONVERTERS: DESIGN, CONTROL AND POERATION",Piyush Kant,2,2022-23,1026
86,12,134,74,11,93,5,9,8,,,,,CS771,INTRODUCTION TO MACHINE LEARNING,Piyush Rai,1,2024-25,1027
5,1,3,2,,2,,,,,,,,CS772A,PROBABILISTIC MACHINE LEARNING,Piyush Rai,3,2023-24,1028
3,,2,3,,1,,,,1,,,,CS772,PROBABILISTIC MACHINE LEARNING,Piyush Rai,3,2023-24,1029
,,,,,,,,,,67,,4,CS801,INNOVATIONS IN COMPUTER SCIENCE AND ENGINEERING,Piyush Rai,2,2023-24,1030
2,,3,,,,2,,,,,,,ME340A,INTRODUCTION TO REFRIGERATION AND AIR CONDITIONING,P. K. Panigrahi,3,2020-21,1031
,,1,,1,,5,6,,19,,,,MTH113M,LINEAR ALGEBRA,Pooja Singla,1,2024-25,1032
1,,2,1,,1,,,,,,,,MTH641,INTRODUCTION TO LIE ALGEBRAS AND REPRESENTATION THEORY,Pooja Singla,2,2023-24,1033
,,1,1,,1,,,,,,,,MTH731A,INTRODUCTION TO COXETER GROUPS,Pooja Singla,1,2023-24,1034
,,1,,,,,,,,,,,MTH731,INTRODUCTION TO COXETER GROUPS,Pooja Singla,1,2023-24,1035
,,7,2,13,5,10,8,,13,,,,MTH102A,MATHEMATICS - II,Pooja Singla,1,2022-23,1036
1,1,2,5,,,,,,,,,,CE785,PAVEMENT MATERIALS,Prabin Kumar Ashish,2,2023-24,1037
1,,8,5,,,,,,,,,,CE780,LABORATORY COURSE IN TRANSPORTATION ENGINEERING,Prabin Kumar Ashish,2,2023-24,1038
2,2,7,5,7,3,,,,,,,,SEE603,ELECTRICAL POWER ENGINEERING,Prabodh Bajpai,1,2024-25,1039
3,3,5,1,,4,1,,,1,,,,SEE616,RENEWABLES INTEGRATED SMART POWER SYSTEMS,Prabodh Bajpai,2,2023-24,1040
1,1,3,1,1,,,,,,,,,SEE603A,ELECTRICAL POWER ENGINEERING,Prabodh Bajpai,1,2023-24,1041
1,1,2,4,1,6,,,,,,,,SEE603,ELECTRICAL POWER ENGINEERING,Prabodh Bajpai,1,2023-24,1042
,,1,2,2,,,,,,,,,EE684,FIBER-OPTIC COMMUNICATIONS,Pradeep Kumar,1,2024-25,1043
,,,4,,,,,,,,,,EE798U,ADVANCED FIBER-OPTIC COMMUNICATIONS,Pradeep Kumar,2,2023-24,1044
1,,,,,,,,,,,,,EE684A,FIBER-OPTIC COMMUNICATIONS,Pradeep Kumar,1,2023-24,1045
